name,description,storageIco,ico,homepage,github_user,github_repo
github-pages,Bootstrap the GitHub Pages Jekyll environment locally.,,,,,
github-pages-health-check,Checks your GitHub Pages site for commons DNS configuration issues.,,,,,
html-pipeline,HTML processing filters and utilities,,,,,
jekyll,"a simple, blog aware, static site generator.",,,,,
jekyll-avatar,A Jekyll plugin for rendering GitHub avatars,,,,,
jekyll-coffeescript,A CoffeeScript converter for Jekyll.,,,,,
jekyll-commonmark-ghpages,,,,,,
jekyll-default-layout,,,,,,
jekyll-feed,A Jekyll plugin to generate an Atom feed of your Jekyll posts,,,,,
jekyll-get-json,Import remote JSON data into the data for a Jekyll site,rubydoc.ico,,https://www.rubydoc.info/gems/jekyll-get-json,brockfanning,jekyll-get-json
jekyll-gist,Liquid tag for displaying GitHub Gists in Jekyll sites.,,,,,
jekyll-github-metadata,,,,,,
jekyll-include-cache,A Jekyll plugin to cache the rendering of Liquid includes,,,,,
jekyll-mentions,@mention support for your Jekyll site,,,,,
jekyll-optional-front-matter,,,,,,
jekyll-paginate,Built-in Pagination Generator for Jekyll,,,,,
jekyll-readme-index,,,,,,
jekyll-redirect-from,,,,,,
jekyll-relative-links,,,,,,
jekyll-remote-theme,,,,,,
jekyll-sass-converter,,,,,,
jekyll-seo-tag,,,,,,
jekyll-sitemap,,,,,,
jekyll-swiss,"A bold typographic theme for Jekyll, inspired by Swiss design.",,,,,
jekyll-theme-architect,,,,,,
jekyll-theme-cayman,,,,,,
jekyll-theme-dinky,,,,,,
jekyll-theme-hacker,Hacker is a Jekyll theme for GitHub Pages,,,,pages-themes,hacker
jekyll-theme-leap-day,,,,,,
jekyll-theme-merlot,,,,,,
jekyll-theme-midnight,,,,,,
jekyll-theme-minimal,,,,,,
jekyll-theme-modernist,,,,,,
jekyll-theme-primer,,,,,,
jekyll-theme-slate,,,,,,
jekyll-theme-tactile,,,,,,
jekyll-theme-time-machine,,,,,,
jekyll-titles-from-headings,,,,,,
jemoji,,,,,,
kramdown,,,,,,
kramdown-parser-gfm,kramdown-parser-gfm provides a kramdown parser for the GFM dialect of Markdown,,,,,
liquid,,,,,,
minima,,,,,,
nokogiri,,,,,,
rouge,,,,,,
ruby,,,,,,
safe_yaml,Parse YAML safely,,,,,
sass,,,,,,
